dataset,strategy,node_drop_rate,accuracy,std,dropped_nodes_mean,observed_train_nodes_mean,sampled_recovered_nodes_mean,successful_recovered_nodes_mean,semantic_added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,added_edges_per_active_node_mean,added_edges_over_sparse_edges_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,cluster_time_sec_mean,num_runs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,cluster_count,support_size,support_internal_edges
Cora,ours_adaptive,0.95,0.7516667048136393,0.013424688843396567,127.0,13.0,63.0,63.0,215.66666666666666,0.14815976645562265,0.38095238095238093,3.4232804232804237,0.08156833081190117,0.04534933004281516,0.024039033412312467,1.6692423332327355,1.6932813666450481,50.65966796875,0.0,3,10,0.5,10,0.0,7,10,2
Cora,inverse_adaptive,0.95,0.740000049273173,0.02092844780486427,127.0,13.0,63.0,63.0,229.0,0.1395245403629104,0.38095238095238093,3.634920634920635,0.08661119515885024,0.04815288042956258,0.025651800058161218,1.4977353999080758,1.523387199966237,50.426920572916664,0.0,3,10,0.5,10,0.0,7,10,2
Cora,global_active_knn,0.95,0.7343333760897318,0.007845734303475523,127.0,13.0,63.0,63.0,19946.666666666668,0.0032253563228148117,0.6031746031746031,316.6137566137566,7.544125063035804,4.194294521187802,0.4796359333364914,1.4677672000446667,1.9474031333811581,108.47819010416667,0.0,3,10,0.5,10,0.0,7,10,2
Cora,cluster_active_knn,0.95,0.7190000216166178,0.009899479876137797,127.0,13.0,63.0,63.0,20290.666666666668,0.002596985041508787,0.4708994708994709,322.0740740740741,7.67423096318709,4.266628374420772,2.6922778332761177,1.4583954666741192,4.150673299950237,110.15169270833333,0.9015741332744559,3,10,0.5,10,0.0,7,10,2
PubMed,ours_adaptive,0.95,0.7783333659172058,0.01673984263579612,57.0,3.0,28.0,28.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.005417851821752674,0.002420225010839168,0.08317993340703349,2.6120647666975856,2.695244700104619,267.47119140625,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,inverse_adaptive,0.95,0.7733333706855774,0.016357144911120513,57.0,3.0,28.0,28.0,107.0,0.0871252204585538,0.2976190476190476,3.8214285714285716,0.005434782608695653,0.002427788735217051,0.0750404333230108,2.55809640007404,2.633136833397051,267.4718424479167,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,global_active_knn,0.95,0.7636667092641195,0.014522023532135444,57.0,3.0,28.0,28.0,147124.66666666666,0.0001268762544718206,0.5,5254.452380952381,7.472809156169578,3.3382040660508703,4.279321233353888,5.411190199898556,9.690511433252444,702.7233072916666,0.0,3,10,0.5,10,0.0,3,10,2
PubMed,cluster_active_knn,0.95,0.7576667070388794,0.024087808415437492,57.0,3.0,28.0,28.0,148405.33333333334,0.00012805304520791645,0.48809523809523814,5300.190476190476,7.537857239604496,3.367262168524464,133.01363840008466,5.610611266689375,138.62424966677403,705.7047526041666,0.17452689997541407,3,10,0.5,10,0.0,3,10,2
