dataset,strategy,node_drop_rate,accuracy,std,dropped_nodes_mean,observed_train_nodes_mean,sampled_recovered_nodes_mean,successful_recovered_nodes_mean,semantic_added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,added_edges_per_active_node_mean,added_edges_over_sparse_edges_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,cluster_time_sec_mean,num_runs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,cluster_count,support_size,support_internal_edges
ogbn-arxiv,ours_adaptive,0.95,0.6197148362795512,0.0032474926676732433,86393.0,4548.0,43196.0,43196.0,126533.66666666667,0.06598543352406468,0.1530079945673982,2.9292912924036174,1.0030731586151498,0.5267267347502702,20.65901506661127,17.85636610002257,38.51538116663384,1908.2158203125,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,inverse_adaptive,0.95,0.6197834213574728,0.0016420750709400212,86393.0,4548.0,43196.0,43196.0,171935.33333333334,0.058827030174019364,0.1701237768929222,3.980353119115968,1.3629868036507962,0.7157236187310877,20.335232666693628,18.562591133328777,38.8978238000224,1997.1925455729167,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,global_active_knn,0.95,0.6305646498998007,0.002590708949371718,86393.0,4548.0,43196.0,43196.0,995315.3333333334,0.028820281787945847,0.420995771213384,23.041840293854367,7.890185446493216,4.14325352743087,120.1742668999359,37.373744666731604,157.5480115666675,4349.5966796875,0.0,3,10,0.5,10,0.0,40,10,2
ogbn-arxiv,cluster_active_knn,0.95,0.6193308035532633,0.0009226317827653215,86393.0,4548.0,43196.0,43196.0,1010503.3333333334,0.022097183377408684,0.341914374787789,23.393446924097912,8.010585617723379,4.20649797303777,473.78248740003136,37.64891690000271,511.43140430003405,4394.58984375,2.019345633375148,3,10,0.5,10,0.0,40,10,2
