"dataset","node_drop_rate","successful_recovered_nodes_mean","successful_recovered_nodes_std","recovery_edges_mean","recovery_edges_std","recovery_edge_hits_mean","recovery_edge_hits_std","edge_hit_rate_mean","edge_hit_rate_std","node_hit_rate_mean","node_hit_rate_std","topk_precision_mean","topk_precision_std","topk_recall_mean","topk_recall_std","avg_recovery_edges_per_successful_node_mean","avg_recovery_edges_per_successful_node_std","avg_hit_edges_per_successful_node_mean","avg_hit_edges_per_successful_node_std"
"CORA","0.75","50.0","0.0","174.0","3.605551275463989","31.0","1.7320508075688772","0.1783107288691083","0.012937408471768346","0.45999999999999996","0.019999999999999976","0.09400000000000001","0.0040000000000000036","0.2514312999516048","0.05017936447820379","3.48","0.07211102550927985","0.62","0.034641016151377574"
"CORA","0.85","56.0","0.0","199.33333333333334","6.506407098647712","32.0","2.6457513110645907","0.16071074220137357","0.015124360824022434","0.4166666666666667","0.04493949068613542","0.09107142857142858","0.0030929478706587152","0.21719779590131452","0.016482095554673223","3.5595238095238098","0.11618584104728037","0.5714285714285715","0.04724555912615336"
"CORA","0.95","63.0","0.0","215.66666666666666","3.21455025366432","32.0","8.18535277187245","0.14815976645562265","0.036663356794109946","0.38095238095238093","0.07936507936507936","0.0746031746031746","0.01802828046285801","0.2028586276832326","0.016655573740206923","3.4232804232804237","0.05102460720102103","0.5079365079365079","0.1299262344741659"
"PubMed","0.75","22.0","0.0","79.66666666666667","4.509249752822894","7.0","2.6457513110645907","0.08690476190476189","0.028146643851278307","0.25757575757575757","0.09462118179391511","0.03787878787878788","0.011439143083743561","0.07812402305155929","0.01090597576333563","3.621212121212121","0.20496589785558614","0.3181818181818182","0.12026142323020865"
"PubMed","0.85","25.0","0.0","99.0","3.0","5.333333333333333","1.1547005383792515","0.0539091899386017","0.011839379500619352","0.18666666666666668","0.06110100926607787","0.030666666666666665","0.009237604307034011","0.06625605197033768","0.015034542473570873","3.9599999999999995","0.1200000000000001","0.21333333333333335","0.04618802153517005"
"PubMed","0.95","28.0","0.0","106.66666666666667","1.5275252316519452","9.333333333333334","1.5275252316519465","0.0873848258583461","0.013139990789869048","0.2976190476190476","0.020619652471058087","0.04047619047619048","0.008987898137227085","0.1012901831604523","0.016938663000655878","3.8095238095238098","0.05455447255899836","0.3333333333333333","0.05455447255899807"
"ogbn-arxiv-full","0.75","34102.0","0.0","122882.66666666667","145.0321803370991","10221.666666666666","10.016652800877594","0.08318243214305125","0.00014900141328410817","0.22661427482259108","0.0004691806932144646","0.050955955662424494","0.0004736405386221336","0.05940021053629021","0.0009186034004892261","3.603385920669364","0.004252893681810673","0.2997380407796219","0.0002937262565502868"
"ogbn-arxiv-full","0.85","38649.0","0.0","139396.33333333334","6.110100926610962","10292.333333333334","171.44775686293886","0.07383503052698127","0.0012294292499276036","0.20145411265491994","0.003119816184895438","0.045099053878064975","0.0006487298709936287","0.05890353483541307","0.0033756410309540405","3.6067254866447604","0.00015809208327798266","0.26630270727142574","0.0044360205144489935"
"ogbn-arxiv-full","0.95","43196.0","0.0","126533.66666666667","54.50076452063156","8349.333333333334","155.67059238447487","0.06598543352406468","0.0012585031012854512","0.15300799456739822","0.0016059585000279394","0.038012007284625116","0.0004915354484610698","0.05704235971510502","0.0034695000022612003","2.9292912924036174","0.001261708596180838","0.1932895021143933","0.003603819621827839"
