dataset,backbone,mode,node_drop_rate,accuracy,std,dropped_train_nodes_mean,observed_train_nodes_mean,sampled_recovered_train_nodes_mean,successful_recovered_train_nodes_mean,train_nodes_mean,sparse_edges_mean,added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,num_runs,num_epochs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,edge_scorer_epochs,edge_scorer_hidden_dim,edge_scorer_prescreen_k
Cora,sage,"Recovered Labels, No Edges",0.75,0.7436667084693909,0.028755698920921714,100.0,40.0,50.0,50.0,90.0,4862.0,0.0,0.0,0.0,0.0,0.0,0.7316137999296188,0.7316137999296188,50.183756510416664,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, Random Edges",0.75,0.6963333686192831,0.029634800223058887,100.0,40.0,50.0,50.0,90.0,4862.0,174.0,0.001949317738791423,0.006666666666666667,3.48,0.002757500003402432,0.6999274666886777,0.7026849666920801,51.436848958333336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, Hadamard-MLP Edges",0.75,0.7473333676656088,0.028241048748822408,100.0,40.0,50.0,50.0,90.0,4862.0,174.0,0.15704408633311392,0.3866666666666667,3.48,0.2281631000029544,0.6890855000043908,0.9172486000073453,51.436848958333336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,Ours: Recovered Labels + LLM Semantic Edges,0.75,0.7463333606719971,0.02940898312227341,100.0,40.0,50.0,50.0,90.0,4862.0,174.0,0.1783107288691083,0.45999999999999996,3.48,0.00990533324268957,0.6834342667522529,0.6933395999949425,51.436848958333336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, No Edges",0.85,0.7446667154630026,0.004496910588858385,113.0,27.0,56.0,56.0,83.0,4820.0,0.0,0.0,0.0,0.0,0.0,0.7388781666134795,0.7388781666134795,50.10009765625,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, Random Edges",0.85,0.6880000233650208,0.012083058128310448,113.0,27.0,56.0,56.0,83.0,4820.0,199.33333333333334,0.0033452386940993005,0.011904761904761904,3.5595238095238098,0.0028024332908292613,0.7423288332453618,0.7451312665361911,51.436360677083336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, Hadamard-MLP Edges",0.85,0.7320000330607096,0.01902630221020545,113.0,27.0,56.0,56.0,83.0,4820.0,199.33333333333334,0.1443018368331083,0.39285714285714285,3.5595238095238098,0.1466893666268637,0.7440872666581223,0.890776633284986,51.436360677083336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,Ours: Recovered Labels + LLM Semantic Edges,0.85,0.7450000246365865,0.011343127104842681,113.0,27.0,56.0,56.0,83.0,4820.0,199.33333333333334,0.16071074220137357,0.4166666666666667,3.5595238095238098,0.010553366737440228,0.7385285667454203,0.7490819334828606,51.436360677083336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, No Edges",0.95,0.7336666981379191,0.008219209542955115,127.0,13.0,63.0,63.0,76.0,4755.666666666667,0.0,0.0,0.0,0.0,0.0,1.0308338333076488,1.0308338333076488,49.972493489583336,3,300,10,0.5,10,0.0,50,128,100
Cora,sage,"Recovered Labels, Random Edges",0.95,0.6786666909853617,0.005436516206319581,127.0,13.0,63.0,63.0,76.0,4755.666666666667,215.66666666666666,0.0015290519877675841,0.005291005291005291,3.4232804232804237,0.00419883329110841,0.9756903666226814,0.9798891999137899,50.400553385416664,3,300,10,0.5,10,0.0,50,128,100
